first,second,result
Ram,Shell Mario,Shell Mario
Cybermoses,Crashlilychu,Nothing
Car Pool,Playstation,Nothing
Cyberdada Kart Zephyr,Super Cyberrita Bros. 6,Nothing
Super Mario Bros. 5,Mecha,Super Mario Bros. 64
Playbox,Great Wall Of Flash Games,Playbox
Super Mario Galaxy,Mecha Cyberdorito,Nothing
Xbox,Cyberyakko,Cyberbox
Movie Theater,Cyberpopcorn,Cyberpopcorn
Cyberwhal,Cyber Mecha Ariel Star,Nothing
Flaming Moe,Cyberboard,Flaming Cyberboard
Kimchi Ipad,Super Mario Galaxy 3: Mecha Kong,Nothing
Super Mario Portal 2,Cyberdemon,Cybermario
Cyberdust Mecha Mariobot,Cyberdrive Poker,Cyberdrive Mecha Mariobot
Mario Galaxy 3,Ipad Sashimi,Nothing
Disco Skatebot,Ipaddypus,Disco Skatebot
VR Cinema,Cybercar,Nothing
Portal Car,Cyber Gomera,Cyber Gomera
Mecha Yakko,Slap Mario,Yakko Mario
Mario Kart Odyssey,Mariobot,Mario Kart 8 Deluxe
Mecha Mariobot,Cybermario Kart,Cybermario Kart
Cyberpharaoh,Hula-mario Maker 2,Nothing
Cyber Mario Bros. 2,Choo-mario Kart,Choo-mario Kart 2
Cyberfridge,Skatezilla,Nothing
Dice Mario,PS4 Shogi,Nothing
Tiki Cyberbee,Cyber Yugi,Cyber Tiki
Cyber Genie Tiki,Cyberpunk Gamer,Nothing
Cyberstone Mario,Cyber Gizmo-car Bros.,Cyber Gizmo-car Bros. Mario
Cyberbear,Cowboy Car Pool Skatebot,Nothing
Cyberkushodalama,Cyber Disco Dart,Nothing
Baby Lava Mario Kart 3d,Werejack,Nothing
Chess Bot,Cyber Moesha,Chess Moesha
Piranha Mario,Mario Kart Vr,Piranha Plant
Hackernado,Mac Punk,Hackernado
Cyber Jesus Mario Kart 8,Super Mario Bros. 2,Super Mario Kart 8
Cyber Space Dorito,K Mickey Mouse,Nothing
Computer,Cyber Mickey Mouse,Cyber Mouse
Macbook Air,Drive-Thru,Car
Cyber Couch,Cyber Soday-meme,Cyber Couch
Cyberalien Hula,Cyber Mario Kart Odyssey,Cyberalien Mario Kart Odyssey
Cyber Pong,Cyber Ra Kart,Cyber Pong Kart
Disco Mecha-mickey,Gizmoscope,Nothing
Car Pool Skatebot,Animefuturama,Nothing
Flashyogi,Cyber Tile,Cyber Flashyogi
Kimchi Kart,Super Lollipop Komodo,Nothing
Cybermilk Flash,Matcha Mouse,Nothing
Mario Odyssey,Cyber Zephyr,Super Mario Odyssey
Mario Loan-ieux,Bubble Kart 64 3: Cyberstorm,Mario Kart 64
Mecha Komodo Hula 3.0,Cyberstoned,Nothing
Tiki-mecha,Cyber Sodalama,Nothing
Flip Gizmoduck,Flashbaby,Flip Flashbaby
Super Mario Kart Odyssey,Playbox,Super Mario Kart Odyssey
Cyberpuff Kart,Cyber Yo-yo,Cyberpuff
Mega Mouse,Mecha Skate Knight,Mega Mecha Skate Knight
Raveboard,Dice,Diceboard
Choo-Mario,Cyber Goseidon,Choo-mario
Cyberhydra,Cyberlaundry,Cyberdry
Cyberbrothel,Cybervan,Nothing
Mario Tank,Cyber Tsunadon,Cyber Tank
Cyber Sega Couch,Cyberdrive-go,Nothing
Cyberdine,Virtual Tiki,Cyberdine Tiki
Cybermole,Cyberrose,Cyberflower
Dice Shooter,Cyber Tiki Mickey Carzilla,Cyber Tiki Mickey Carzilla
Cyberfruit,Cyber Tile,Cyberfruit
Darts,Kangaroov,Nothing
Cybermario Kart Teapot Glowplex,TikiPad,Nothing
Pixel Gun 3d Hack,Cyberhedge,Nothing
